359 428 535 1617 2848 
neco' 0 0 0 2 0 
frequenc 0 0 0 2 0 
ssmc 0 0 0 0 2 
ksu 0 0 0 2 0 
spec 0 0 0 0 2 
devot 1 1 0 0 0 
one-two 0 2 0 0 0 
nsw 0 2 0 0 0 
dispens 0 0 1 0 1 
oil-rel 1 0 0 0 1 
omni 2 0 0 0 0 
port' 0 2 0 0 0 
3,800,000 0 0 0 1 1 
kick 0 0 1 1 0 
1.375 0 1 0 1 0 
2,227,000 0 0 0 0 2 
blanket 0 1 1 0 0 
133.75 0 2 0 0 0 
protocomdevic 0 0 0 0 2 
10.38 0 0 0 0 2 
15.55 2 0 0 0 0 
housew 0 2 0 0 0 
vaskevitch 0 0 0 2 0 
bk.n 0 0 0 1 1 
18.72 0 0 0 0 2 
7,960,000 0 0 0 0 2 
sidor 0 0 0 0 2 
richest 0 0 0 2 0 
writer 1 0 0 0 1 
121,000 0 1 0 0 1 
2,800 1 1 0 0 0 
carling' 0 0 0 2 0 
haruo 0 0 2 0 0 
113,000 0 0 0 0 2 
6,561,000 0 0 0 0 2 
258 0 0 0 0 2 
409,100 0 0 0 0 2 
goods-produc 0 0 2 0 0 
802,000 0 0 0 0 2 
ast 0 0 0 1 1 
despatch 1 0 0 1 0 
joao 0 0 2 0 0 
one-for-thre 0 0 0 0 2 
blair 0 2 0 0 0 
intermagnet 0 0 0 2 0 
lichtenberg 0 0 0 2 0 
47.7 0 0 0 0 2 
632,000 0 0 0 0 2 
siemens' 0 0 0 2 0 
andean 2 0 0 0 0 
241.0 0 0 0 0 2 
moltk 0 0 2 0 0 
2,610,000 0 0 0 0 2 
178.8 0 0 0 0 2 
3,035,000 0 0 0 0 2 
est. 0 1 0 1 0 
schrader 0 0 0 0 2 
sovr 0 0 0 2 0 
well-tim 0 1 1 0 0 
159.6 0 0 1 0 1 
agr 0 0 0 1 1 
mcleod 0 0 0 2 0 
monmouth 0 0 0 2 0 
hourli 0 0 1 1 0 
1,251,000 0 0 0 0 2 
vicker 0 0 1 1 0 
1,537,000 0 0 0 0 2 
186.8 0 0 0 0 2 
1,485,000 0 0 0 0 2 
pari.pa 0 0 0 0 2 
shelter 0 0 0 2 0 
newly-releas 1 0 0 0 1 
weir 0 0 0 2 0 
8.25p 0 0 0 0 2 
16.16 2 0 0 0 0 
437,000 1 0 0 0 1 
co-respons 0 2 0 0 0 
922,000 0 0 0 0 2 
4,941,000 0 0 0 0 2 
dorn 0 0 0 0 2 
over-product 2 0 0 0 0 
vernon 0 1 0 1 0 
113 0 1 0 0 1 
ripe 0 0 2 0 0 
4,257,000 0 0 0 0 2 
10-15/4 0 2 0 0 0 
russ 0 0 0 0 2 
willm 0 0 0 2 0 
882,000 0 0 0 0 2 
412 0 0 1 0 1 
trillium 2 0 0 0 0 
forsakr 0 0 0 2 0 
6,349,753 0 0 0 0 2 
thoroughli 0 0 0 2 0 
fmd 0 0 0 2 0 
logo 0 0 0 2 0 
u.s.-u.k. 0 0 2 0 0 
1.7975/85 0 0 2 0 0 
napco 0 0 0 0 2 
gramm 0 0 2 0 0 
lor 0 0 0 2 0 
belb.br 0 0 0 1 1 
corridor 0 1 1 0 0 
4,900,000 0 0 0 0 2 
877,000 0 0 0 0 2 
eldorado 0 0 0 0 2 
bayg.f 0 0 0 0 2 
harsco 0 0 0 0 2 
amfac 0 0 0 2 0 
jpm 0 0 0 0 2 
reprograph 0 0 0 0 2 
moltke' 0 0 2 0 0 
22,109 0 0 2 0 0 
rotterdam' 0 2 0 0 0 
mid-1985 0 0 1 1 0 
11-1/4 0 0 2 0 0 
mclean' 0 0 0 2 0 
156.7 0 0 0 0 2 
206.0 0 0 0 0 2 
videotron 0 0 0 2 0 
4,014,000 0 0 0 0 2 
sodbust 0 2 0 0 0 
westfield 0 0 0 2 0 
54.5 0 0 1 0 1 
vet 0 0 0 0 2 
2,944,000 0 0 0 0 2 
penta 0 0 0 1 1 
almir 2 0 0 0 0 
1,912,438 0 0 0 0 2 
unamort 0 0 0 0 2 
lira' 0 0 2 0 0 
strive 0 0 2 0 0 
citicorp' 0 0 0 0 2 
crowd 0 2 0 0 0 
iceland 0 0 0 2 0 
aq 0 0 0 2 0 
near-record 0 2 0 0 0 
3,093,000 0 0 0 0 2 
sociedad 0 0 0 1 1 
2,922,000 0 0 0 0 2 
atrc 0 0 0 2 0 
4-1/4 0 0 0 1 1 
woolco 0 0 0 0 2 
1,252,000 0 0 0 0 2 
244,000 0 1 0 0 1 
3,479 0 0 1 1 0 
8,824,000 0 0 0 0 2 
aren't 1 1 0 0 0 
798,000 0 0 0 0 2 
kurm 0 0 0 0 2 
bessem 0 0 0 2 0 
mlxx 0 0 0 1 1 
zen-noh 0 2 0 0 0 
561,029 0 0 0 0 2 
r-ill 0 2 0 0 0 
rth 0 0 0 0 2 
jupit 0 0 0 2 0 
xon.n 1 0 0 0 1 
nike 0 0 0 0 2 
hesit 0 1 0 1 0 
9,883,000 0 0 0 0 2 
bushnel 0 0 0 2 0 
1956 0 0 0 2 0 
69.13 0 0 0 0 2 
acqur 0 0 0 1 1 
odyssey 0 0 0 2 0 
1,831,000 0 0 0 0 2 
swim 0 0 1 1 0 
abdelaziz 2 0 0 0 0 
1967 2 0 0 0 0 
u.s.a. 1 0 0 0 1 
vdc 0 0 0 0 2 
vicon 0 0 0 2 0 
49-1/8 1 0 0 1 0 
cross-rat 0 1 1 0 0 
161,019 0 0 0 0 2 
radix 0 0 0 1 1 
168.6 0 0 0 0 2 
reventador 2 0 0 0 0 
9.42 0 1 0 0 1 
ccn 0 0 0 1 1 
34.59 0 0 2 0 0 
domingo 0 0 0 2 0 
140.5 0 0 0 0 2 
denmark 0 1 0 1 0 
196.2 0 0 0 1 1 
6.97 0 0 0 0 2 
hainan 0 1 1 0 0 
312,000 0 0 0 0 2 
20.10 0 0 0 1 1 
accuraci 0 1 0 1 0 
224.6 0 0 0 0 2 
8,517,000 0 0 0 0 2 
135.1 0 0 0 0 2 
2,021,000 0 0 0 0 2 
3,150,000 0 0 0 0 2 
clni 0 0 0 2 0 
cfa 0 0 0 2 0 
1,040,000 0 0 0 0 2 
ottawa' 0 0 0 2 0 
undesir 0 0 2 0 0 
cereai 0 2 0 0 0 
vist 1 0 0 0 1 
appointe 0 0 0 2 0 
learjet' 0 0 0 2 0 
fnf 0 0 0 1 1 
houlder 2 0 0 0 0 
out-of-st 0 0 0 1 1 
1.143 0 0 2 0 0 
rocker 0 0 0 2 0 
reinvest 0 0 0 1 1 
713,300 0 0 0 0 2 
employees' 1 0 0 0 1 
2,713,912 0 0 0 0 2 
hci 0 0 0 2 0 
abdulaziz 2 0 0 0 0 
93.1 0 0 0 0 2 
6p 0 0 0 0 2 
964 2 0 0 0 0 
84,400 0 0 0 1 1 
asahi 1 0 0 1 0 
schering-plough 0 0 0 2 0 
munford 0 0 0 2 0 
lifi 0 0 0 0 2 
stock' 0 0 0 1 1 
44,913 2 0 0 0 0 
thirti 0 0 1 1 0 
80.9 0 0 0 0 2 
247 0 0 0 0 2 
bang 0 0 0 0 2 
nearest 0 1 1 0 0 
fbh 0 0 0 0 2 
752 1 0 0 0 1 
trinidad-tobago 2 0 0 0 0 
waf 0 0 0 2 0 
276.4 0 0 0 0 2 
1,807,000 0 0 0 0 2 
92.30 0 2 0 0 0 
juno 0 0 0 0 2 
slap 0 1 1 0 0 
134.7 0 0 0 0 2 
middleman 0 0 2 0 0 
4,036,000 0 0 0 0 2 
strw 0 0 0 0 2 
nissei 0 0 0 2 0 
moni.mi 0 0 0 2 0 
106,300 0 0 0 0 2 
gape 1 0 1 0 0 
heatley 0 0 0 2 0 
asec 0 0 0 2 0 
cano 2 0 0 0 0 
24-hour 2 0 0 0 0 
equity-account 0 0 0 0 2 
tri-star 0 0 0 2 0 
10.05 0 0 0 0 2 
valeri 0 0 2 0 0 
3.75/80 0 0 2 0 0 
5,705,000 0 0 0 0 2 
ctco 0 0 0 2 0 
2300 0 0 2 0 0 
ivey-rowton 0 0 0 2 0 
17:17:34.97 0 2 0 0 0 
susan 0 2 0 0 0 
arc.n 1 0 0 1 0 
156,000,000 0 0 0 0 2 
15.63 2 0 0 0 0 
fcbn 0 0 0 0 2 
356,000 0 1 0 0 1 
8,787,000 0 0 0 0 2 
0.6875 0 0 2 0 0 
9.06 1 0 0 0 1 
eaten 0 1 0 0 1 
94.6 0 0 0 0 2 
25.35 0 0 0 0 2 
pompano 0 0 0 2 0 
kasl 0 0 0 0 2 
pepsi 0 0 0 2 0 
attleboro 0 0 0 2 0 
90.3 0 0 0 0 2 
2,777,620 0 0 0 0 2 
7,105,000 0 0 0 0 2 
extraodinari 0 0 0 0 2 
atco' 0 0 0 0 2 
holiday' 0 0 0 2 0 
atomika 0 0 0 2 0 
suppos 1 0 0 0 1 
6.35 0 0 0 0 2 
obolenski 0 0 0 2 0 
215.8 0 0 0 0 2 
possibilti 0 0 2 0 0 
2,627,612 0 0 0 0 2 
3,614,000 0 0 0 0 2 
decor 0 0 0 1 1 
respres 0 0 0 1 1 
52.2 0 0 0 1 1 
817,000 0 0 0 0 2 
monopolist 2 0 0 0 0 
adp 0 0 0 1 1 
680,000 1 0 0 0 1 
63.7 0 0 0 0 2 
investment' 0 0 0 2 0 
8,181 0 0 2 0 0 
2,806,820 0 0 0 0 2 
hssi 0 0 0 0 2 
d-okla 0 2 0 0 0 
494,000 0 0 0 0 2 
mot 0 0 0 2 0 
showcas 0 0 0 0 2 
abrog 0 0 2 0 0 
idsal 0 0 0 2 0 
150.6 0 0 0 2 0 
clothier 0 0 0 0 2 
141 0 1 0 0 1 
bouy.pa 0 0 0 2 0 
spawn 0 0 1 1 0 
mote 0 0 0 2 0 
329.4 0 0 0 0 2 
hmsb 0 0 0 0 2 
1,569,000 0 0 0 0 2 
spot-next 1 0 1 0 0 
458,000 0 0 0 0 2 
ncel 0 0 0 1 1 
beranek 0 0 0 2 0 
haut 0 2 0 0 0 
517 0 0 1 0 1 
768,000 0 0 0 0 2 
4,127,000 0 0 0 0 2 
47.8 0 0 0 0 2 
mcdi 0 0 0 0 2 
porex 0 0 0 0 2 
9,775,000 0 0 0 0 2 
bhagat 0 2 0 0 0 
gh 0 0 0 0 2 
slowest 1 0 0 0 1 
8.48 0 0 1 0 1 
1.8243 0 0 2 0 0 
207,514 0 0 0 0 2 
feb'86 0 0 2 0 0 
schneider 0 0 0 2 0 
franchise 0 0 0 2 0 
nhmo 0 0 0 1 1 
205,000 0 0 0 1 1 
upstat 0 0 0 2 0 
schweizerhal 0 0 0 0 2 
lear-siegl 0 0 0 2 0 
catalyt 2 0 0 0 0 
545,000 0 0 0 0 2 
fcr 0 0 0 0 2 
3.84 0 0 0 0 2 
halvorsen 2 0 0 0 0 
gail 0 2 0 0 0 
wing 0 0 0 0 2 
107,000 0 1 0 0 1 
4.23 2 0 0 0 0 
gurne 0 0 0 2 0 
putnam 0 0 0 2 0 
sterling-target 0 0 2 0 0 
107.6 0 0 0 0 2 
9.20 0 0 0 1 1 
wallac 0 0 0 0 2 
cablesystem 0 0 0 2 0 
616 0 0 0 0 2 
bass' 0 0 0 2 0 
4.08 0 0 0 2 0 
77,000 0 0 0 0 2 
entex 0 0 0 0 2 
374,000 0 0 0 0 2 
3,056,000 0 0 0 0 2 
finest 0 0 0 2 0 
juic 0 0 0 2 0 
recrod 0 0 0 0 2 
seger 0 0 2 0 0 
467 0 0 0 0 2 
flbk 0 0 0 0 2 
80.71 0 0 0 0 2 
spencer 0 0 0 2 0 
912,000 0 0 0 0 2 
mtcc 0 0 0 0 2 
hamilton 2 0 0 0 0 
nbd 0 0 0 0 2 
boeski 0 0 0 2 0 
bloc 0 0 2 0 0 
113.00 0 0 2 0 0 
syrup-55 0 2 0 0 0 
262,000 0 0 0 0 2 
seam 0 0 0 0 2 
nowt 0 0 0 1 1 
panhandl 0 2 0 0 0 
995,000 0 0 0 0 2 
2,122,000 0 0 0 0 2 
reporters' 1 0 0 0 1 
wallenbergs' 0 0 0 2 0 
brusca 0 0 2 0 0 
ctw 0 0 0 0 2 
12,141,000 0 0 0 0 2 
inkey' 0 0 0 2 0 
11:58:47.35 0 0 0 0 2 
fixed-r 0 0 2 0 0 
censu 0 2 0 0 0 
insititut 0 0 0 0 2 
al-aam 2 0 0 0 0 
861,000 0 1 0 0 1 
1.125 0 2 0 0 0 
1,596,000 0 0 0 0 2 
p.s. 0 0 2 0 0 
catalyst 0 0 0 2 0 
texsun 0 0 0 2 0 
7,700,000 0 0 0 0 2 
6,500,000 0 0 0 0 2 
prais 1 0 1 0 0 
hpsc 0 0 0 0 2 
wallco 0 0 0 2 0 
toho 0 0 0 2 0 
taxwrit 2 0 0 0 0 
accruabl 0 0 0 0 2 
1,247,000 0 0 0 0 2 
388,536 0 0 0 0 2 
aqtn 0 0 0 0 2 
pohl 0 0 0 0 2 
764 0 0 0 0 2 
ademco 0 0 0 2 0 
charm 0 0 0 0 2 
1,499,985 0 0 0 2 0 
hii 0 0 0 1 1 
ul 0 0 0 0 2 
hnat 0 0 0 0 2 
4,147,248 0 0 0 0 2 
123.39 0 0 0 0 2 
8-mm 0 0 0 0 2 
112.3 0 0 0 0 2 
parf 0 0 0 0 2 
nobl.st 0 0 0 2 0 
23:45:47.90 0 2 0 0 0 
leix 0 0 0 0 2 
3,604,000 0 0 0 0 2 
cl 0 0 0 0 2 
sp 0 0 0 0 2 
pte 0 0 0 1 1 
knoll' 0 0 0 2 0 
scr 0 0 0 0 2 
lorenzo 0 0 0 2 0 
tranch 0 1 0 0 1 
988.2 0 0 0 0 2 
2,250,000 0 0 0 0 2 
omb 0 2 0 0 0 
h.c.f. 0 0 0 0 2 
bally' 0 0 0 2 0 
1,487,000 0 0 0 0 2 
895,000 0 0 0 0 2 
155.0 0 0 0 0 2 
gyllenhammar 0 0 0 0 2 
mangood 0 0 0 0 2 
laundri 0 0 0 2 0 
tecd 0 0 0 0 2 
3,908,000 0 0 0 0 2 
pennock 0 0 2 0 0 
1,357,000 0 0 0 0 2 
deltec 0 0 0 2 0 
hipt 0 0 0 1 1 
edinburgh 2 0 0 0 0 
138,000 0 0 0 0 2 
peterson 0 0 0 2 0 
u.f. 0 0 0 2 0 
zimbabwe' 0 1 1 0 0 
macomson 0 0 0 2 0 
24.99 0 0 0 2 0 
decommiss 0 0 0 0 2 
1,920,000 0 0 0 0 2 
1,518,700 0 2 0 0 0 
non-execut 0 0 0 2 0 
th3pygk 0 0 2 0 0 
429.3 0 0 0 0 2 
cupertino 0 0 0 1 1 
^m 0 0 0 1 1 
opec-l 2 0 0 0 0 
1900 0 0 2 0 0 
13.70 0 2 0 0 0 
7,508,000 0 0 0 0 2 
bnbga 0 0 0 0 2 
mower 0 0 0 1 1 
photron 0 0 0 0 2 
on-lin 0 0 0 0 2 
swann 2 0 0 0 0 
ringsid 0 0 0 2 0 
elf 1 0 0 1 0 
8,941,000 0 0 0 0 2 
132.1 0 0 0 0 2 
arifin 1 0 1 0 0 
3,673,000 0 0 0 0 2 
nichemen 0 2 0 0 0 
saudia 2 0 0 0 0 
opecna 2 0 0 0 0 
csac 0 0 0 2 0 
customari 0 2 0 0 0 
19.95 2 0 0 0 0 
bsm 0 2 0 0 0 
technitrol 0 0 0 0 2 
deepen 0 0 0 2 0 
371.3 0 0 0 0 2 
174,373 0 0 0 0 2 
5,386,000 0 0 0 0 2 
5,818,000 0 0 0 0 2 
107.5 0 0 0 0 2 
mirror 0 0 1 0 1 
geipel 0 0 2 0 0 
40.05 0 1 0 0 1 
hyo 0 0 0 2 0 
o'connor 0 0 0 2 0 
halliburton 2 0 0 0 0 
schlick 0 2 0 0 0 
prescott 1 0 0 1 0 
6.76 0 0 0 0 2 
16-1/2 0 0 0 0 2 
78.2 0 0 0 0 2 
440 0 0 0 1 1 
reservoir 2 0 0 0 0 
chacin 2 0 0 0 0 
noon 0 0 1 0 1 
645,438 0 0 0 0 2 
3,660,273 0 0 0 0 2 
2,853,000 0 0 0 0 2 
catena' 0 0 0 0 2 
bbn 0 0 0 2 0 
baa-1 0 0 0 2 0 
landlord 0 0 0 2 0 
vmlpz 0 0 0 0 2 
96.1 0 0 0 0 2 
banquet 0 0 2 0 0 
74.7 0 0 0 0 2 
st. 0 0 0 0 2 
651,000 0 0 0 0 2 
6.36 0 0 0 0 2 
5,910,000 0 0 0 0 2 
lig 0 0 0 2 0 
greenwich 1 0 0 1 0 
mcrae 0 0 0 0 2 
75.05 0 0 0 0 2 
punit 0 0 0 2 0 
gactz 0 0 0 0 2 
nicotin 0 0 0 2 0 
eisenberg 0 0 0 0 2 
sfem 0 0 2 0 0 
cassett 0 0 0 1 1 
par-valu 0 0 0 2 0 
talc 0 0 0 0 2 
microtel 0 0 0 2 0 
walker-gooderham' 0 0 0 1 1 
panama 0 1 0 1 0 
9,333,000 0 0 0 0 2 
licia 0 0 0 0 2 
880 0 0 0 1 1 
vest 0 0 0 1 1 
lybrand 0 0 0 0 2 
coastal' 0 0 0 2 0 
3.45 1 0 0 0 1 
suffolk 0 0 0 2 0 
67.1 0 0 0 0 2 
1.395 2 0 0 0 0 
boiler 1 0 0 0 1 
2,075,000 0 0 0 0 2 
oust 0 1 0 1 0 
27.62 0 2 0 0 0 
nioc 2 0 0 0 0 
784 2 0 0 0 0 
0.75 0 0 1 0 1 
41-1/2 0 0 0 0 2 
220.84 0 0 0 0 2 
till 0 1 0 0 1 
mohler 0 2 0 0 0 
vienot 0 0 0 1 1 
5.43 1 0 0 0 1 
82.7 0 1 0 0 1 
6.53 1 0 0 0 1 
ferrosilicon 0 0 0 2 0 
svt 0 0 0 0 2 
1,130,000 0 0 0 0 2 
aerial 1 0 0 0 1 
3,100 1 1 0 0 0 
beih 0 0 0 1 1 
beaubien 1 0 0 0 1 
465 0 0 0 1 1 
5.14 0 0 0 0 2 
immucor 0 0 0 0 2 
oxygen 0 0 0 2 0 
hartley 2 0 0 0 0 
cf 0 0 0 0 2 
48,195,000 0 2 0 0 0 
springfield 0 0 0 2 0 
10,500,000 0 0 0 0 2 
indict 0 0 0 0 2 
uniroy 0 0 0 0 2 
6,008,000 0 0 0 0 2 
gnp. 0 0 1 0 1 
gothenburg 2 0 0 0 0 
540.9 0 0 0 0 2 
209 0 0 0 0 2 
dso 0 0 0 1 1 
153.77 0 0 2 0 0 
95.00 0 0 0 2 0 
woodbridg 0 0 0 2 0 
about-fac 0 1 0 1 0 
996,000 0 0 0 0 2 
pentron 0 0 0 2 0 
haskin 0 0 0 2 0 
2,091,000 0 0 0 0 2 
height 0 0 0 1 1 
7.44 0 0 0 0 2 
hsc 0 0 0 0 2 
1,064,000 0 0 0 0 2 
17,683 0 2 0 0 0 
5,328 0 0 0 0 2 
chg 0 0 0 2 0 
5.33 1 0 0 0 1 
3.62 0 0 0 1 1 
32.63 0 0 0 0 2 
2,522,293 0 0 0 0 2 
hurtado 2 0 0 0 0 
winley 0 0 0 2 0 
92.8 0 0 0 0 2 
margx 0 0 0 0 2 
bankier 0 0 0 0 2 
1,882,000 0 0 0 0 2 
galleria 0 0 0 2 0 
16.3p 0 0 0 0 2 
25-dlr-per-shar 0 0 0 2 0 
3,005,000 0 0 0 0 2 
tokyo-bas 1 0 1 0 0 
215.7 0 0 0 1 1 
58.8 0 0 0 0 2 
147,000 0 0 0 0 2 
anew 2 0 0 0 0 
galcf 0 0 0 0 2 
nfg 0 0 0 0 2 
polyethelen 0 0 0 0 2 
kennecott 0 0 0 2 0 
lothar 0 0 2 0 0 
del. 0 0 0 1 1 
anti-greenmail 0 0 0 2 0 
dlrs. 2 0 0 0 0 
hurdman 0 0 0 2 0 
wk 0 0 0 0 2 
5,616,019 0 0 0 0 2 
2,099,000 0 0 0 0 2 
two-for-f 0 0 0 0 2 
cloth 0 0 0 0 2 
20.45 0 0 0 0 2 
bokl.l 0 0 0 0 2 
r.l. 0 0 0 1 1 
repugn 0 0 0 2 0 
12.38 0 0 0 0 2 
re-export 0 1 1 0 0 
peoria 0 2 0 0 0 
rod 0 1 0 1 0 
710p 0 0 0 2 0 
3,009,000 0 0 0 0 2 
5,440,000 0 0 0 0 2 
2.39 0 2 0 0 0 
yorkshir 0 0 0 2 0 
creb 0 0 0 2 0 
six-year 0 1 0 1 0 
mdc 0 0 0 1 1 
12.25 1 0 0 1 0 
2,317,000 0 0 0 0 2 
fast-grow 0 0 0 2 0 
tim 0 1 0 0 1 
9,767,000 0 0 0 0 2 
lancast 0 0 0 2 0 
ratif 2 0 0 0 0 
17-mar-1987 0 0 0 0 2 
guardman 0 0 0 2 0 
4,947,632 0 0 0 0 2 
keith 0 1 1 0 0 
xtra 0 0 0 2 0 
deminex 2 0 0 0 0 
villier 0 0 0 0 2 
hlme 0 0 0 0 2 
comi 0 0 0 0 2 
ussr. 0 2 0 0 0 
842,000 0 1 0 0 1 
fujitsu' 0 0 0 2 0 
5,054,844 0 0 0 0 2 
miguel' 0 0 0 2 0 
5.54 0 1 0 0 1 
9.2p 0 0 0 0 2 
enka 0 0 0 1 1 
marketech 0 0 0 2 0 
publick 0 0 0 0 2 
6-1/2-year-old 2 0 0 0 0 
174,000 0 0 0 0 2 
5,112,100 0 0 0 0 2 
nudg 0 1 0 0 1 
stet 0 0 0 2 0 
island-bas 0 0 0 2 0 
gray 0 0 0 2 0 
68.9 0 0 0 0 2 
cmtl 0 0 0 1 1 
parliamentarian 2 0 0 0 0 
shareholder' 0 0 0 0 2 
nucel 0 0 0 2 0 
rupert 0 0 0 1 1 
1,555,000 0 0 0 0 2 
units' 0 0 0 2 0 
watanabe' 0 0 0 2 0 
ex-west 0 0 2 0 0 
hikmat 0 0 2 0 0 
previously-report 0 0 0 0 2 
mateo 0 0 0 2 0 
ferrado 0 0 0 2 0 
3.92 0 1 0 1 0 
homebuild 0 0 0 2 0 
frsl 0 0 0 1 1 
slough 0 0 0 0 2 
428 2 0 0 0 0 
407,000 0 0 0 0 2 
novr 0 0 0 0 2 
reebok' 0 0 0 2 0 
superfund 1 0 0 0 1 
chelsea 0 0 0 0 2 
highly-charg 0 0 0 2 0 
isoglucos 0 0 0 2 0 
ab' 0 0 0 2 0 
8p 0 0 0 0 2 
jeopard 1 0 0 1 0 
underst 0 1 1 0 0 
1,402,000 0 0 0 0 2 
7,900,000 0 0 0 0 2 
2,986,000 0 0 0 0 2 
chr 0 0 0 0 2 
5,695,000 0 0 0 1 1 
163,932 0 0 0 0 2 
shekel 0 0 0 0 2 
9,310,000 0 0 0 0 2 
4,800,840 0 0 0 0 2 
brunthav 0 2 0 0 0 
18.42 2 0 0 0 0 
petro-canada' 2 0 0 0 0 
91.8 0 0 0 2 0 
high-capac 0 0 0 2 0 
airmot 0 0 0 2 0 
biod 0 0 0 1 1 
2,149,000 0 0 0 0 2 
carmel 0 0 0 0 2 
721,000 0 0 0 0 2 
4.63 0 0 0 0 2 
28.02 0 0 1 1 0 
line' 2 0 0 0 0 
bsv 0 0 0 0 2 
1,280,727 0 0 0 0 2 
5,896,000 0 0 0 0 2 
lacklustr 0 0 2 0 0 
wtrk 0 0 0 2 0 
p.h. 0 0 0 0 2 
oporto-bas 0 0 0 2 0 
140.00 0 0 2 0 0 
pubco' 0 0 0 0 2 
138,372 0 0 0 0 2 
1/march 0 2 0 0 0 
standard' 0 0 0 2 0 
txn 0 0 0 1 1 
seelig 0 0 0 0 2 
chop 0 1 1 0 0 
australasian 0 0 2 0 0 
awek 0 2 0 0 0 
swf 0 0 0 2 0 
advo 0 0 0 0 2 
2,440,100 0 0 0 0 2 
920 0 0 0 0 2 
automedix 0 0 0 2 0 
softer 0 0 1 0 1 
1.4375 0 0 0 0 2 
futil 0 0 2 0 0 
119.6 1 0 0 0 1 
jiyun 0 1 1 0 0 
securitis 0 0 1 0 1 
lear' 0 0 0 2 0 
leather 0 0 0 2 0 
16.07 2 0 0 0 0 
jan'87 0 0 2 0 0 
76,888 0 0 0 0 2 
mosl 0 0 0 2 0 
2,883,000 0 0 0 0 2 
840,000 0 1 0 0 1 
interest-fre 0 0 1 0 1 
931,000 0 0 0 0 2 
volusia 0 0 0 2 0 
water-clar 0 0 0 0 2 
verhofstadt' 0 0 0 2 0 
rni 0 0 0 2 0 
354.5 0 0 0 0 2 
6,650,000 0 0 0 0 2 
1,000,000 0 0 0 0 2 
high-level 1 0 1 0 0 
688,000 0 0 0 0 2 
bankshar 0 0 0 2 0 
dram 0 0 0 0 2 
buchbind 0 0 0 0 2 
montedis 0 0 0 2 0 
13-3/8 0 0 0 2 0 
barent 2 0 0 0 0 
2,102,000 0 0 0 0 2 
usf 0 0 0 0 2 
368,188 0 0 0 0 2 
6,111,000 0 0 0 0 2 
110.0 0 0 0 0 2 
market-ori 0 2 0 0 0 
77-3/8 0 0 0 1 1 
267,000 0 0 0 0 2 
2-mar-1987 0 2 0 0 0 
3,050,000 0 0 0 0 2 
soybean-produc 0 2 0 0 0 
industrial 0 0 0 1 1 
cng 0 0 0 1 1 
cidn 0 0 0 1 1 
gv 0 0 0 0 2 
1600 0 0 0 2 0 
43.6 0 0 0 0 2 
5,529,000 0 0 0 0 2 
deilmann 1 0 0 0 1 
diamazon 0 0 0 2 0 
15.14 1 1 0 0 0 
221.8 0 0 0 0 2 
7,261,000 0 0 0 0 2 
122 0 0 0 0 2 
38.3 0 0 0 0 2 
sanchez 0 0 0 2 0 
594,000 0 0 0 0 2 
unqualifi 0 0 0 0 2 
6,467,000 0 0 0 0 2 
59-5/8 1 0 0 0 1 
agriproduct 0 0 0 2 0 
embezzl 0 0 0 0 2 
1.485 0 0 0 0 2 
mindscap 0 0 0 2 0 
887,000 0 1 0 0 1 
haruya 0 0 2 0 0 
dorgan 0 2 0 0 0 
tuskaloosa 0 0 0 2 0 
15/may 0 2 0 0 0 
219,000 0 0 0 0 2 
davenport 0 2 0 0 0 
wesco 0 0 0 1 1 
108.8 0 0 0 1 1 
160.3 0 0 0 0 2 
flew 2 0 0 0 0 
1,062,000 0 0 0 0 2 
coil 0 0 0 2 0 
regret 0 0 0 2 0 
ckb 0 0 0 2 0 
31.85 0 2 0 0 0 
stubbornli 0 0 2 0 0 
gold-back 0 0 0 2 0 
figueiredo 0 0 2 0 0 
charact 0 0 1 0 1 
tongu 0 0 2 0 0 
greenshield 1 0 0 0 1 
469,200 0 0 0 0 2 
dunbar 0 0 0 0 2 
ibl 0 0 0 1 1 
mxm 0 0 0 1 1 
excahng 0 0 0 2 0 
builders' 0 0 0 2 0 
eclips 0 0 0 2 0 
nim 0 0 0 2 0 
enercon 0 0 0 2 0 
headi 2 0 0 0 0 
453.4 0 0 0 0 2 
qintex' 0 0 0 2 0 
731 0 0 0 0 2 
galileo 0 0 0 0 2 
piw 2 0 0 0 0 
perini 0 0 0 0 2 
2,303,000 0 0 0 0 2 
knox 0 0 0 0 2 
sisb 0 0 0 1 1 
b.a. 0 0 0 0 2 
tridel 0 0 0 0 2 
icc' 0 0 0 2 0 
vetx 0 0 0 1 1 
anglia 0 2 0 0 0 
1,788,000 0 0 0 0 2 
ut 0 0 0 0 2 
stifl 0 0 2 0 0 
45.50 0 0 0 0 2 
77.4 0 0 0 0 2 
sho 0 0 0 0 2 
60-day 0 0 2 0 0 
1,140,000 0 0 0 0 2 
freed 0 0 2 0 0 
unhappi 0 0 1 1 0 
sle 0 0 0 2 0 
mont 0 0 0 2 0 
dni 0 0 0 1 1 
oelmuehl 0 0 0 2 0 
564,000 0 0 0 0 2 
hwta. 0 0 0 2 0 
harmon 0 0 0 2 0 
u.k 0 0 0 1 1 
transnat 0 0 0 0 2 
3-1/4 0 0 0 0 2 
6.19 1 0 1 0 0 
rhml.l 0 0 0 1 1 
776.0 0 0 0 0 2 
amusements' 0 0 0 2 0 
148.3 0 0 0 0 2 
1,155,000 0 0 0 0 2 
